 ,,,,,,
"PRECIOS MÁXIMOS AL PÚBLICO APLICABLES A LAS GASOLINAS Y EL DIÉSEL EN LAS REGIONES QUE SE INDICAN, CORRESPONDIENTES AL PERIODO COMPRENDIDO DEL 7 AL 9 DE OCTUBRE DE 2017",,,,,,
NO. DE REGIÓN,REGIÓN,ESTADO(S),MUNICIPIO(S) Y/O ZONA METROPOLITANA,PRECIOS MÁXIMOS AL PÚBLICO,,
,,,,GASOLINA MENOR A 92 OCTANOS,GASOLINA  MAYOR O IGUAL A 92 OCTANOS,DIÉSEL
,,,TAMAZULA DE GORDIANO,$16.47,$18.39,$17.10
,,,AYUTLA,$16.47,$18.39,$17.10
,,,UNION DE TULA,$16.47,$18.39,$17.10
,,,ATENGO,$16.47,$18.39,$17.10
,,,TAPALPA,$16.47,$18.39,$17.10
,,,CHIQUILISTLAN,$16.47,$18.39,$17.10
,,,JUCHITLAN,$16.47,$18.39,$17.10
,,,TENAMAXTLAN,$16.47,$18.39,$17.10
,,,ZAPOTLAN EL GRANDE,$16.47,$18.39,$17.10
,,,MIXTLAN,$16.47,$18.39,$17.10
,,,GOMEZ FARIAS,$16.47,$18.39,$17.10
,,,TEOCUITATLAN DE CORONA,$16.47,$18.39,$17.10
,,,TECOLOTLAN,$16.47,$18.39,$17.10
,,,SAN GABRIEL,$16.47,$18.39,$17.10
,,,SAYULA,$16.47,$18.39,$17.10
,,,ATEMAJAC DE BRIZUELA,$16.47,$18.39,$17.10
,,,SAN MARTIN HIDALGO,$16.47,$18.39,$17.10
,,,SAN MARCOS,$16.47,$18.39,$17.10
,,,CUQUIO,$16.47,$18.39,$17.10
,,,TECHALUTA DE MONTENEGRO,$16.47,$18.39,$17.10
,,,AMECA,$16.47,$18.39,$17.10
,,,SAN JUANITO DE ESCOBEDO,$16.47,$18.39,$17.10
,,,ETZATLAN,$16.47,$18.39,$17.10
,,,MAGDALENA,$16.47,$18.39,$17.10
,,,COCULA,$16.47,$18.39,$17.10
,,,IXTLAHUACAN DEL RIO,$16.47,$18.39,$17.10
,,,AHUALULCO DE MERCADO,$16.47,$18.39,$17.10
,,,TEQUILA,$16.47,$18.39,$17.10
,,,VILLA CORONA,$16.47,$18.39,$17.10
,,,TEUCHITLAN,$16.47,$18.39,$17.10
,,,ACATLAN DE JUAREZ,$16.47,$18.39,$17.10
,,,AMATITAN,$16.47,$18.39,$17.10
,,,TALA,$16.47,$18.39,$17.10
,,,TLAJOMULCO DE ZUÑIGA,$16.47,$18.39,$17.10
,,,TONALA,$16.47,$18.39,$17.10
,,,EL ARENAL,$16.47,$18.39,$17.10
,,,GUADALAJARA,$16.47,$18.39,$17.10
,,,SAN PEDRO TLAQUEPAQUE,$16.47,$18.39,$17.10
20,GUAMUCHIL,SINALOA,GUASAVE,$16.28,$17.97,$17.17
,,,ANGOSTURA,$16.28,$17.97,$17.17
,,,MOCORITO,$16.28,$17.97,$17.17
,,,SALVADOR ALVARADO,$16.28,$17.97,$17.17
23,IGUALA,GUERRERO,TIXTLA DE GUERRERO,$16.05,$17.76,$16.92
,,,LEONARDO BRAVO,$16.05,$17.76,$16.92
,,,CHILPANCINGO DE LOS BRAVO,$16.05,$17.76,$16.92
,,,ATENANGO DEL RIO,$16.05,$17.76,$16.92
,,,APAXTLA,$16.05,$17.76,$16.92
,,,MOCHITLAN,$16.05,$17.76,$16.92
,,,EDUARDO NERI,$16.05,$17.76,$16.92
,,,TELOLOAPAN,$16.05,$17.76,$16.92
,,,TAXCO DE ALARCON,$16.05,$17.76,$16.92
,,,HUITZUCO DE LOS FIGUEROA,$16.05,$17.76,$16.92
,,,BUENAVISTA DE CUELLAR,$16.05,$17.76,$16.92
,,,TEPECOACUILCO DE TRUJANO,$16.05,$17.76,$16.92
,,,COCULA,$16.05,$17.76,$16.92
